대분류,중분류,최종점수,등급,사업용 자동차,등급,자전거 및 이륜차,등급,보행자,등급,교통약자,등급,운전자,등급,도로환경,등급
경남,하동군,82.55,C,81.15,D,84.44,B,82.6,C,82.49,C,83.17,B,81.45,D
경남,함안군,81.57,C,77.06,E,82.27,D,81.51,C,81.61,C,83.36,B,83.61,C
경남,함양군,81.12,D,81.33,D,83.58,C,76.02,E,82.22,C,82.64,C,80.92,D
경남,합천군,83.52,B,81.61,D,83.91,B,83.07,B,82.11,C,84.38,A,86.06,B
경북,경산시,77.63,D,80.14,C,77.18,D,74.37,D,81.14,C,78.01,D,74.95,D
경북,경주시,70.67,E,76.86,D,78.6,D,74.77,D,64.76,E,73.97,D,55.07,E
경북,고령군,81.34,C,83.22,B,84,B,80.18,D,77,D,82.07,C,81.59,D
경북,구미시,72.85,C,76.39,C,66.83,D,77.93,C,74.02,C,74.14,B,67.77,C
경북,군위군,82.27,C,83.25,B,83.34,C,83.57,B,79.32,D,81.8,C,82.32,D
경북,김천시,79.22,C,82.44,B,73.34,E,82.24,B,76.15,D,83.23,B,77.92,C
경북,문경시,82,B,79.71,C,82.92,B,79.26,C,82.15,B,84.49,A,83.43,B
경북,봉화군,78.66,D,83.28,A,81.89,D,82.49,C,67.31,E,73.8,E,83.18,C
경북,상주시,70.4,E,82.23,B,52.02,E,75.41,D,66.3,E,81.73,B,64.69,E
경북,성주군,80.28,D,82.78,C,83.66,C,81.74,C,80.5,C,69.79,E,83.19,C
경북,안동시,79.78,C,81.43,B,81.72,C,82.41,B,75.27,D,81.01,C,76.84,D
경북,영덕군,83.1,B,82.85,C,83.19,C,83.51,B,83.57,B,81.85,C,83.64,C
경북,영양군,82.26,C,83.28,A,84.5,A,75.16,E,83.29,B,81.85,C,85.49,B
경북,영주시,78.26,D,83.18,A,81.87,C,78.73,D,67.98,E,79.57,C,78.22,C
경북,영천시,81.13,B,79.1,C,83,B,83.38,A,78.91,C,80.45,C,81.92,B
경북,예천군,83.05,B,82.87,C,83.17,C,80.7,D,82.99,C,83.47,B,85.11,B
경북,울진군,83.39,B,83.28,A,83.88,B,79.21,D,84.69,B,82.8,B,86.49,A
